max_altitude,rise_azimuth,set_azimuth,archived,experimental,year,station_lat,station_lng,station_alt,horizon,station_status,duration_seconds,hour_of_day,day_of_week,month,day_of_year,week_of_year,altitude_squared,altitude_log,hour_sin,hour_cos,month_sin,month_cos,abs_latitude,true_label,predicted_label,error_type
22.0,254.0,173.0,0,0,2025,52.342463,-1.290348,128,15,2,211.0,1,4,9,255,37,484.0,3.1354942159291497,0.2588190451025207,0.9659258262890684,-1.0,-1.8369701987210294e-16,52.342463,1.0,0.0,False Negative
89.0,164.0,345.0,1,0,2023,56.82,12.89,67,20,0,298.0,20,0,7,212,31,7921.0,4.499809670330265,-0.8660254037844386,0.5000000000000001,-0.4999999999999997,-0.8660254037844388,56.82,0.0,1.0,False Positive
10.0,353.0,250.0,1,0,2024,47.449768,9.832987,727,20,0,576.0,0,1,4,100,15,100.0,2.3978952727983707,0.0,1.0,0.8660254037844387,-0.4999999999999998,47.449768,1.0,0.0,False Negative
65.0,20.0,182.0,1,0,2024,48.886,8.693,337,45,2,362.0,10,3,3,67,10,4225.0,4.189654742026425,0.4999999999999999,-0.8660254037844387,1.0,6.123233995736766e-17,48.886,0.0,1.0,False Positive
58.0,290.0,147.0,1,0,2022,40.164,-105.093,1626,0,2,239.0,19,4,12,364,52,3364.0,4.07753744390572,-0.9659258262890684,0.2588190451025203,-2.4492935982947064e-16,1.0,40.164,0.0,1.0,False Positive
35.0,126.0,36.0,1,0,2024,-19.861,-44.619,800,30,2,194.0,3,1,6,163,24,1225.0,3.58351893845611,0.7071067811865476,0.7071067811865476,1.2246467991473532e-16,-1.0,19.861,1.0,0.0,False Negative
43.0,43.0,167.0,1,0,2023,-27.492,153.069,29,20,2,316.0,12,5,9,259,37,1849.0,3.784189633918261,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210294e-16,27.492,0.0,1.0,False Positive
87.0,14.0,192.0,0,0,2025,43.229,-79.759,92,15,0,412.0,16,2,10,295,43,7569.0,4.477336814478207,-0.8660254037844385,-0.5000000000000004,-0.8660254037844386,0.5000000000000001,43.229,1.0,0.0,False Negative
19.0,117.0,9.0,1,0,2023,50.485,4.885,185,6,0,422.0,8,4,10,300,43,361.0,2.995732273553991,0.8660254037844387,-0.4999999999999998,-0.8660254037844386,0.5000000000000001,50.485,1.0,0.0,False Negative
77.0,12.0,205.0,1,0,2022,56.82,12.89,67,20,0,344.0,14,4,10,280,40,5929.0,4.356708826689592,-0.4999999999999997,-0.8660254037844388,-0.8660254037844386,0.5000000000000001,56.82,0.0,1.0,False Positive
72.0,295.0,99.0,1,0,2023,32.95,-96.84,196,20,2,272.0,7,0,4,100,15,5184.0,4.290459441148391,0.9659258262890684,-0.2588190451025206,0.8660254037844387,-0.4999999999999998,32.95,1.0,0.0,False Negative
13.0,356.0,248.0,1,0,2024,41.743,-111.807,1382,0,1,730.0,14,4,10,278,40,169.0,2.6390573296152584,-0.4999999999999997,-0.8660254037844388,-0.8660254037844386,0.5000000000000001,41.743,0.0,1.0,False Positive
57.0,321.0,130.0,1,0,2022,48.886,8.693,337,3,0,904.0,9,4,1,28,4,3249.0,4.060443010546419,0.7071067811865476,-0.7071067811865475,0.4999999999999999,0.8660254037844387,48.886,0.0,1.0,False Positive
71.0,169.0,345.0,1,0,2023,54.48,-6.23,75,10,0,728.0,21,1,1,24,4,5041.0,4.276666119016055,-0.7071067811865477,0.7071067811865474,0.4999999999999999,0.8660254037844387,54.48,1.0,0.0,False Negative
13.0,242.0,296.0,1,0,2022,40.164,-105.093,1626,0,2,203.0,7,4,4,98,14,169.0,2.6390573296152584,0.9659258262890684,-0.2588190451025206,0.8660254037844387,-0.4999999999999998,40.164,0.0,1.0,False Positive
14.0,242.0,311.0,1,0,2022,63.854,20.208,35,10,2,261.0,1,2,11,327,47,196.0,2.70805020110221,0.2588190451025207,0.9659258262890684,-0.5000000000000004,0.8660254037844384,63.854,0.0,1.0,False Positive
32.0,348.0,232.0,1,0,2023,48.886,8.693,337,45,2,257.0,11,4,7,202,29,1024.0,3.49650756146648,0.258819045102521,-0.9659258262890682,-0.4999999999999997,-0.8660254037844388,48.886,0.0,1.0,False Positive
40.0,359.0,216.0,0,0,2025,40.03241,-105.24567,1630,3,1,474.0,16,0,3,62,10,1600.0,3.713572066704308,-0.8660254037844385,-0.5000000000000004,1.0,6.123233995736766e-17,40.03241,1.0,0.0,False Negative
20.0,95.0,26.0,0,0,2025,52.342463,-1.290348,128,15,2,224.0,18,6,4,117,17,400.0,3.044522437723423,-1.0,-1.8369701987210294e-16,0.8660254037844387,-0.4999999999999998,52.342463,1.0,0.0,False Negative
70.0,0.0,202.0,1,0,2024,-19.861,-44.619,800,30,2,202.0,9,5,6,153,22,4900.0,4.262679877041316,0.7071067811865476,-0.7071067811865475,1.2246467991473532e-16,-1.0,19.861,1.0,0.0,False Negative
64.0,13.0,207.0,1,0,2023,52.062,-2.062,50,5,0,898.0,14,1,5,136,20,4096.0,4.174387269895637,-0.4999999999999997,-0.8660254037844388,0.4999999999999999,-0.8660254037844387,52.062,0.0,1.0,False Positive
37.0,5.0,214.0,0,0,2024,46.258282,14.386951,460,0,0,696.0,10,1,11,331,48,1369.0,3.6375861597263857,0.4999999999999999,-0.8660254037844387,-0.5000000000000004,0.8660254037844384,46.258282,1.0,0.0,False Negative
15.0,336.0,237.0,0,0,2025,20.650459,-103.399798,1610,20,2,421.0,6,1,7,182,27,225.0,2.772588722239781,1.0,6.123233995736766e-17,-0.4999999999999997,-0.8660254037844388,20.650459,0.0,1.0,False Positive
31.0,255.0,145.0,1,0,2023,48.886,8.693,337,45,2,320.0,13,3,10,299,43,961.0,3.4657359027997265,-0.2588190451025208,-0.9659258262890684,-0.8660254037844386,0.5000000000000001,48.886,0.0,1.0,False Positive
64.0,52.0,160.0,1,0,2024,63.854,20.208,35,10,2,191.0,21,6,9,252,36,4096.0,4.174387269895637,-0.7071067811865477,0.7071067811865474,-1.0,-1.8369701987210294e-16,63.854,0.0,1.0,False Positive
12.0,280.0,2.0,1,0,2024,37.042,35.36,65,5,0,488.0,3,5,7,195,28,144.0,2.5649493574615367,0.7071067811865476,0.7071067811865476,-0.4999999999999997,-0.8660254037844388,37.042,1.0,0.0,False Negative
59.0,175.0,344.0,0,0,2025,30.179,-92.054,11,21,0,751.0,7,6,7,208,30,3481.0,4.0943445622221,0.9659258262890684,-0.2588190451025206,-0.4999999999999997,-0.8660254037844388,30.179,0.0,1.0,False Positive
58.0,249.0,92.0,0,0,2025,49.977285,8.231502,100,10,2,592.0,11,3,5,121,18,3364.0,4.07753744390572,0.258819045102521,-0.9659258262890682,0.4999999999999999,-0.8660254037844387,49.977285,0.0,1.0,False Positive
87.0,162.0,346.0,1,0,2023,56.82,12.89,67,20,0,295.0,9,1,12,346,50,7569.0,4.477336814478207,0.7071067811865476,-0.7071067811865475,-2.4492935982947064e-16,1.0,56.82,0.0,1.0,False Positive
39.0,183.0,340.0,1,0,2024,39.183,-1.783,625,58,0,674.0,22,1,9,268,39,1521.0,3.688879454113936,-0.5000000000000004,0.8660254037844384,-1.0,-1.8369701987210294e-16,39.183,0.0,1.0,False Positive
88.0,309.0,134.0,1,0,2024,63.854,20.208,35,10,2,195.0,3,0,4,99,15,7744.0,4.48863636973214,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998,63.854,0.0,1.0,False Positive
14.0,200.0,329.0,0,0,2025,43.3804059,-3.8537428,10,0,2,427.0,23,1,11,308,45,196.0,2.70805020110221,-0.2588190451025215,0.965925826289068,-0.5000000000000004,0.8660254037844384,43.3804059,0.0,1.0,False Positive
15.0,107.0,39.0,0,0,2025,21.293447,-157.828401,50,10,0,274.0,11,2,3,85,13,225.0,2.772588722239781,0.258819045102521,-0.9659258262890682,1.0,6.123233995736766e-17,21.293447,0.0,1.0,False Positive
89.0,165.0,346.0,0,0,2025,49.2169371,7.01402,224,10,0,444.0,2,3,6,156,23,7921.0,4.499809670330265,0.4999999999999999,0.8660254037844387,1.2246467991473532e-16,-1.0,49.2169371,0.0,1.0,False Positive
24.0,1.0,231.0,1,0,2024,42.019,0.7444,755,15,1,824.0,6,0,4,92,14,576.0,3.218875824868201,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,42.019,0.0,1.0,False Positive
86.0,12.0,194.0,0,0,2025,-38.28,-57.854,10,20,2,362.0,3,1,7,210,31,7396.0,4.465908118654584,0.7071067811865476,0.7071067811865476,-0.4999999999999997,-0.8660254037844388,38.28,0.0,1.0,False Positive
72.0,266.0,83.0,0,0,2024,50.7636,6.12531,210,10,2,537.0,2,2,10,304,44,5184.0,4.290459441148391,0.4999999999999999,0.8660254037844387,-0.8660254037844386,0.5000000000000001,50.7636,1.0,0.0,False Negative
43.0,181.0,342.0,0,0,2025,49.143329,19.489134,598,3,0,696.0,8,6,3,89,13,1849.0,3.784189633918261,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17,49.143329,1.0,0.0,False Negative
